cincinnati,68,-110,-7,20131112,9,home
georgia st,80,\N,\N,20131112,10,away
vanderbilt,86,-110,-3.5,20131112,10,home
fresno st,54,-110,+17,20131112,11,away
pittsburgh,75,-110,-17,20131112,11,home
hofstra,69,-110,+32.5,20131112,12,away
louisville,97,-110,-32.5,20131112,12,home
charlotte,\N,\N,\N,20131112,13,away
charleston,\N,-110,-6.5,20131112,13,home
vcu,59,-110,+3,20131112,14,away
virginia,56,-110,-3,20131112,14,home
fordham,74,-110,+19,20131112,15,away
syracuse,89,-110,-19,20131112,15,home
michigan st,78,-110,-4,20131112,16,away
kentucky,74,-110,+4,20131112,16,home
drexel,78,\N,\N,20131112,17,away
illinois st,70,-110,+5,20131112,17,home
central michigan,70,-110,+10,20131112,18,away
bradley,80,-110,-10,20131112,18,home
south alabama,77,-110,+6,20131112,19,away
texas,84,-110,-6,20131112,19,home
ohio,69,-110,+19,20131112,20,away
ohio st,79,-110,-19,20131112,20,home
tennessee,63,\N,\N,20131112,21,away
xavier,67,-110,-2.5,20131112,21,home
florida,53,-110,+6,20131112,22,away
wisconsin,59,-110,-6,20131112,22,home
southern illinois,59,\N,\N,20131112,23,away
missouri,72,-110,-16.5,20131112,23,home
miami (oh),54,-110,+14,20131112,24,away
arizona st,90,-110,-14,20131112,24,home
kansas,94,-105,+5,20131112,25,away
duke,83,-115,-5,20131112,25,home
nevada,60,-110,+4.5,20131112,26,away
cal poly slo,58,-110,-4.5,20131112,26,home
uc santa barbara,86,-110,+8.5,20131112,27,away
unlv,65,-110,-8.5,20131112,27,home
uc irvine,79,-110,+2,20131112,28,away
pacific,84,-110,-2,20131112,28,home
oakland,60,\N,\N,20131112,29,away
ucla,91,\N,\N,20131112,29,home
new mexico st,95,\N,\N,20131112,30,away
hawaii,88,\N,\N,20131112,30,home
quinnipiac,67,-110,+11.5,20131112,31,away
la salle,73,-110,-11.5,20131112,31,home
manhattan,71,-110,-5,20131112,32,away
columbia,70,-110,+5,20131112,32,home
east carolina,85,-110,-1,20131112,33,away
nc-greensboro,84,-110,+1,20131112,33,home
pennsylvania,79,-110,-5.5,20131112,34,away
monmouth-nj,73,-110,+5.5,20131112,34,home
evansville,84,-110,-3.5,20131112,35,away
indiana - purdue,78,-110,+3.5,20131112,35,home
montana,58,\N,\N,20131112,36,away
minnesota,84,\N,\N,20131112,36,home
western illinois,47,\N,\N,20131112,37,away
nebraska,62,\N,\N,20131112,37,home
loyola-chicago,69,-110,+2,20131112,38,away
tennessee tech,74,-110,-2,20131112,38,home
samford,75,-110,+4,20131112,39,away
texas-arlington,88,-110,-4,20131112,39,home
southern utah,57,-110,+22.5,20131112,40,away
utah st,90,-110,-22.5,20131112,40,home
hartford,51,-110,+8,20131112,41,away
florida gulf coast,65,-110,-8,20131112,41,home
liu brooklyn,72,-110,+23.5,20131112,42,away
indiana,73,-110,-23.5,20131112,42,home
new hampshire,84,-110,+9.5,20131113,1,away
duquesne,81,-110,-9.5,20131113,1,home
north florida,70,\N,\N,20131113,2,away
middle tennessee st,77,-110,-10.5,20131113,2,home
oral roberts,63,-110,+12.5,20131113,3,away
kansas st,71,-110,-12.5,20131113,3,home
cal st fullerton,71,-110,+1.5,20131113,4,away
seattle,75,-110,-1.5,20131113,4,home
mount st mary's,59,-110,+19.5,20131113,5,away
villanova,90,-110,-19.5,20131113,5,home
sacred heart,118,\N,\N,20131113,6,away
holy cross,122,\N,\N,20131113,6,home
bucknell,90,\N,\N,20131113,7,away
penn st,80,\N,\N,20131113,7,home
wright st,70,\N,\N,20131113,8,away
georgetown,88,\N,\N,20131113,8,home
kent st,76,-110,+8,20131113,9,away
seton hall,78,\N,\N,20131113,9,home
florida st,\N,-110,+1.5,20131113,10,away
central florida,\N,-110,-1.5,20131113,10,home
valparaiso,52,-110,+12.5,20131113,11,away
illinois,64,-110,-12.5,20131113,11,home
brown,69,-110,+13.5,20131113,12,away
providence,73,\N,\N,20131113,12,home
southern miss,75,-110,+1.5,20131113,13,away
depaul,68,-110,-1.5,20131113,13,home
wyoming,58,-110,+9.5,20131113,14,away
colorado,63,-110,-9.5,20131113,14,home
portland,73,-110,+6,20131113,15,away
oregon st,79,-110,-6,20131113,15,home
pepperdine,\N,-110,-1,20131113,16,away
uc riverside,\N,\N,\N,20131113,16,home
buffalo,81,-115,-2.5,20131113,17,away
niagara,92,-105,+2.5,20131113,17,home
marist,62,-110,+17.5,20131113,18,away
st joseph's,81,-110,-17.5,20131113,18,home
saint louis,82,\N,\N,20131113,19,away
siu - edwardsville,58,\N,\N,20131113,19,home
tenn-martin,62,\N,\N,20131113,20,away
arkansas st,72,\N,\N,20131113,20,home
stetson,60,-110,-9.5,20131114,1,away
florida a&amp;m,63,-110,+9.5,20131114,1,home
detroit,55,-110,+18.5,20131114,2,away
connecticut,101,-110,-18.5,20131114,2,home
toledo,\N,-110,+8.5,20131114,3,away
boston college,\N,-110,-8.5,20131114,3,home
temple,69,-110,+5,20131114,4,away
towson,75,-110,-5,20131114,4,home
yale,71,-110,+6,20131114,5,away
rutgers,72,-110,-6,20131114,5,home
william &amp; mary,62,-110,+17,20131114,6,away
wichita st,79,-110,-17,20131114,6,home
troy,69,-110,+15,20131114,7,away
uab,81,-110,-15,20131114,7,home
texas-san antonio,62,-110,+13.5,20131114,8,away
houston,80,\N,\N,20131114,8,home
texas tech,64,-110,+10.5,20131114,9,away
alabama,76,-110,-10.5,20131114,9,home
loyola marymount,74,-110,+2,20131114,10,away
long beach st,73,-110,-2,20131114,10,home
arizona,\N,\N,\N,20131114,11,away
san diego st,\N,\N,\N,20131114,11,home
indiana st,95,-110,+2.5,20131114,12,away
belmont,96,-110,-2.5,20131114,12,home
austin peay,69,-110,+22,20131114,13,away
memphis,95,-110,-22,20131114,13,home
montana,77,-110,+6,20131114,14,away
south dakota state,69,-110,-6,20131114,14,home
maryland - e shore,63,-110,+30.5,20131114,15,away
iowa,109,-110,-30.5,20131114,15,home
lehigh,72,PK-110,PK-110,20131115,1,away
fordham,80,PK-110,PK-110,20131115,1,home
presbyterian,48,-110,+22.5,20131115,2,away
wake forest,69,\N,\N,20131115,2,home
lipscomb,\N,-110,-14,20131115,3,away
vanderbilt,\N,-110,+14,20131115,3,home
mount st mary's,76,-110,+15,20131115,4,away
brigham young,108,\N,\N,20131115,4,home
texas-el paso,73,-110,+6.5,20131115,5,away
new mexico st,86,-110,-6.5,20131115,5,home
florida atlantic,64,-110,+31,20131115,6,away
duke,97,-110,-31,20131115,6,home
cornell,54,-110,+31,20131115,7,away
louisville,99,-110,-31,20131115,7,home
georgia tech,80,-115,-2,20131115,8,away
georgia,71,-105,+2,20131115,8,home
louisiana-lafayette,63,-110,+12,20131115,9,away
arkansas,76,-110,-12,20131115,9,home
south florida,75,-115,-3.5,20131115,10,away
bowling green,61,-105,+3.5,20131115,10,home
cleveland st,\N,-110,+1.5,20131115,11,away
texas-arlington,\N,-110,-1.5,20131115,11,home
rice,65,-110,+18.5,20131115,12,away
texas a&amp;m,68,-110,-18.5,20131115,12,home
columbia,53,-110,+23.5,20131115,13,away
michigan st,62,-110,-23.5,20131115,13,home
nevada,\N,-110,+6.5,20131115,14,away
san francisco,\N,-110,-6.5,20131115,14,home
uc davis,60,-110,+11,20131115,15,away
utah,94,-110,-11,20131115,15,home
tennessee tech,78,-110,-7.5,20131115,16,away
texas-pan american,81,-110,+7.5,20131115,16,home
iupu - ft wayne,71,\N,\N,20131115,17,away
texas a&amp;m cc,72,-110,+2.5,20131115,17,home
san jose st,61,-110,+7.5,20131115,18,away
wis-milwaukee,64,-110,-7.5,20131115,18,home
james madison,60,-110,+2,20131115,19,away
northern illinois,55,-110,-2,20131115,19,home
elon university,69,-110,+2.5,20131115,20,away
charlotte,83,-110,-2.5,20131115,20,home
western carolina,\N,-110,+6,20131115,21,away
virginia tech,\N,-110,-6,20131115,21,home
murray st,60,-110,+3,20131115,22,away
old dominion,70,-110,-3,20131115,22,home
samford,59,\N,\N,20131115,23,away
indiana,105,\N,\N,20131115,23,home
morehead st,56,-110,+11.5,20131115,24,away
xavier,79,-110,-11.5,20131115,24,home
idaho state,60,-110,+23.5,20131115,25,away
arizona st,88,-110,-23.5,20131115,25,home
nebraska omaha,70,\N,\N,20131115,26,away
unlv,73,-110,-14,20131115,26,home
holy cross,54,-110,+21,20131115,27,away
north carolina,62,-110,-21,20131115,27,home
south carolina upstate,65,-110,+14.5,20131116,1,away
tennessee,74,-110,-14.5,20131116,1,home
winthrop,71,-110,+22.5,20131116,2,away
vcu,92,-110,-22.5,20131116,2,home
fairfield,52,-110,+5.5,20131116,3,away
loyola-maryland,59,-110,-5.5,20131116,3,home
jackson state,\N,-110,+22.5,20131116,4,away
colorado,\N,-110,-22.5,20131116,4,home
st francis (ny),58,-110,+2,20131116,5,away
dayton,78,-110,-2,20131116,5,home
wv wesleyan,60,-110,+11.5,20131116,6,away
buffalo,80,-110,-11.5,20131116,6,home
pepperdine,88,-110,+6,20131116,7,away
central michigan,71,-110,-6,20131116,7,home
penn st,83,\N,\N,20131116,8,away
pennsylvania,71,\N,\N,20131116,8,home
wright st,72,-110,+2.5,20131116,9,away
depaul,81,-110,-2.5,20131116,9,home
santa clara,73,-110,-1.5,20131116,10,away
cal st fullerton,86,-110,+1.5,20131116,10,home
minnesota,74,-110,+1.5,20131116,11,away
richmond,59,\N,\N,20131116,11,home
utah st,71,-110,-2,20131116,12,away
uc santa barbara,64,-110,+2,20131116,12,home
creighton,83,-110,-3.5,20131116,13,away
st joseph's,79,-110,+3.5,20131116,13,home
hawaii,80,-110,+12.5,20131116,14,away
missouri,92,-110,-12.5,20131116,14,home
northern iowa,70,-110,+2,20131116,15,away
george mason,76,-110,-2,20131116,15,home
tulsa,93,-110,+4.5,20131116,16,away
missouri st,96,\N,\N,20131116,16,home
saint louis,76,-110,-12.5,20131116,17,away
southern illinois,67,-110,+12.5,20131116,17,home
wisconsin,69,-110,-4.5,20131116,18,away
green bay,66,-110,+4.5,20131116,18,home
princeton,67,-110,+7,20131116,19,away
butler,70,-110,-7,20131116,19,home
loyola-chicago,59,-110,+4,20131116,20,away
tulane,65,-110,-4,20131116,20,home
arkansas st,64,-110,+9,20131116,21,away
wyoming,85,-110,-9,20131116,21,home
drake,63,-110,+14,20131116,22,away
st mary's,67,-110,-14,20131116,22,home
iupu - ft wayne,\N,\N,\N,20131116,23,away
texas-pan american,\N,\N,\N,20131116,23,home
tennessee tech,62,-110,-1.5,20131116,24,away
texas a&amp;m cc,60,-110,+1.5,20131116,24,home
wis-milwaukee,77,-110,-3,20131116,25,away
james madison,66,-110,+3,20131116,25,home
san jose st,59,-110,+3,20131116,26,away
northern illinois,60,-110,-3,20131116,26,home
appalachian st,49,-110,+19.5,20131116,27,away
cincinnati,77,-110,-19.5,20131116,27,home
davidson,57,-110,+9.5,20131116,28,away
virginia,70,\N,\N,20131116,28,home
se missouri st,76,\N,\N,20131116,29,away
indiana - purdue,68,\N,\N,20131116,29,home
tennessee st,71,-110,+24.5,20131116,30,away
wichita st,85,-110,-24.5,20131116,30,home
wofford,55,-110,+8.5,20131116,31,away
iona,76,-110,-8.5,20131116,31,home
marist,48,-110,+16.5,20131116,32,away
providence,93,-110,-16.5,20131116,32,home
weber st,67,-110,+1,20131116,33,away
colorado st,88,-110,-1,20131116,33,home
canisius,64,\N,\N,20131116,34,away
st bonaventure,86,\N,\N,20131116,34,home
montana st,67,-110,+2.5,20131116,35,away
uc riverside,72,-110,-2.5,20131116,35,home
eastern illinois,86,\N,\N,20131116,36,away
illinois-chicago,66,\N,\N,20131116,36,home
delaware,90,PK-110,PK-110,20131117,1,away
hampton,79,PK-110,PK-110,20131117,1,home
lehigh,66,-110,+5.5,20131117,2,away
houston,80,-110,-5.5,20131117,2,home
charleston southern,93,-110,+19.5,20131117,3,away
new mexico,109,-110,-19.5,20131117,3,home
duquesne,83,-110,+13.5,20131117,4,away
west virginia,96,-110,-13.5,20131117,4,home
youngstown st,\N,\N,\N,20131117,5,away
massachusetts,\N,\N,\N,20131117,5,home
long beach st,58,-110,+12.5,20131117,6,away
kansas st,71,-110,-12.5,20131117,6,home
louisiana-lafayette,68,-110,+13.5,20131117,7,away
baylor,87,\N,\N,20131117,7,home
south carolina,57,\N,\N,20131117,8,away
clemson,71,\N,\N,20131117,8,home
towson,44,-110,+11.5,20131117,9,away
villanova,78,\N,\N,20131117,9,home
bradley,55,-110,+13.5,20131117,10,away
illinois,81,-110,-13.5,20131117,10,home
oregon st,90,\N,\N,20131117,11,away
maryland,83,\N,\N,20131117,11,home
valparaiso,72,-110,+6.5,20131117,12,away
ohio,76,-110,-6.5,20131117,12,home
florida atlantic,79,-110,+17,20131117,13,away
boston college,82,\N,\N,20131117,13,home
oakland,67,-110,+26,20131117,14,away
gonzaga,82,-110,-26,20131117,14,home
illinois st,68,\N,\N,20131117,15,away
northwestern,64,-110,-10,20131117,15,home
texas-pan american,61,-110,+3.5,20131117,16,away
texas a&amp;m cc,72,-110,-3.5,20131117,16,home
james madison,79,-110,-4.5,20131117,17,away
san jose st,66,-110,+4.5,20131117,17,home
wis-milwaukee,82,-110,-3.5,20131117,18,away
northern illinois,69,-110,+3.5,20131117,18,home
st peter's,58,-110,+13,20131117,19,away
kent st,75,-110,-13,20131117,19,home
belmont,83,-110,+14,20131117,20,away
north carolina,80,\N,\N,20131117,20,home
northern arizona,78,-110,+11,20131117,21,away
loyola marymount,90,-110,-11,20131117,21,home
western illinois,52,-110,+10,20131117,22,away
pacific,66,-110,-10,20131117,22,home
marshall,94,-110,+4.5,20131117,23,away
morehead st,102,-110,-4.5,20131117,23,home
eastern washington,80,-110,+11,20131117,24,away
washington,92,\N,\N,20131117,24,home
boston u,60,-110,+15,20131117,25,away
connecticut,77,-110,-15,20131117,25,home
